,Town,Year,pop_5_yrs_and_over,County,Race,Pop
247,DeerPark,2011,27492,Suffolk,Other_race,847
248,DeerPark,2010,28292,Suffolk,Other_race,731
249,NorthAmityville,2017,19774,Suffolk,Other_race,4362
250,NorthAmityville,2016,20150,Suffolk,Other_race,4498
251,NorthAmityville,2015,19895,Suffolk,Other_race,4049
252,NorthAmityville,2014,19608,Suffolk,Other_race,3260
253,NorthAmityville,2013,19502,Suffolk,Other_race,2747
254,NorthAmityville,2012,18400,Suffolk,Other_race,1648
255,NorthAmityville,2011,18675,Suffolk,Other_race,1349
256,NorthAmityville,2010,17814,Suffolk,Other_race,739
257,NorthBabylon,2017,19774,Suffolk,Other_race,4362
258,NorthBabylon,2016,20150,Suffolk,Other_race,4498
259,NorthBabylon,2015,19895,Suffolk,Other_race,4049
260,NorthBabylon,2014,19608,Suffolk,Other_race,3260
261,NorthBabylon,2013,19502,Suffolk,Other_race,2747
262,NorthBabylon,2012,18400,Suffolk,Other_race,1648
263,NorthBabylon,2011,18675,Suffolk,Other_race,1349
264,NorthBabylon,2010,17814,Suffolk,Other_race,739
265,WestBabylon,2017,43168,Suffolk,Other_race,2601
266,WestBabylon,2016,43359,Suffolk,Other_race,2971
267,WestBabylon,2015,42664,Suffolk,Other_race,2966
268,WestBabylon,2014,43725,Suffolk,Other_race,2871
269,WestBabylon,2013,43496,Suffolk,Other_race,3064
270,WestBabylon,2012,44175,Suffolk,Other_race,2709
271,WestBabylon,2011,43754,Suffolk,Other_race,2562
272,WestBabylon,2010,44552,Suffolk,Other_race,2682
273,WheatleyHeights,2017,5038,Suffolk,Other_race,289
274,WheatleyHeights,2016,5076,Suffolk,Other_race,245
275,WheatleyHeights,2015,5220,Suffolk,Other_race,274
276,WheatleyHeights,2014,5211,Suffolk,Other_race,303
277,WheatleyHeights,2013,5356,Suffolk,Other_race,411
278,WheatleyHeights,2012,5238,Suffolk,Other_race,210
279,WheatleyHeights,2011,5523,Suffolk,Other_race,99
280,WheatleyHeights,2010,6195,Suffolk,Other_race,21
281,Wyandanch,2017,11315,Suffolk,Other_race,1255
282,Wyandanch,2016,10722,Suffolk,Other_race,1214
283,Wyandanch,2015,11558,Suffolk,Other_race,1130
284,Wyandanch,2014,11187,Suffolk,Other_race,1228
285,Wyandanch,2013,10608,Suffolk,Other_race,1261
286,Wyandanch,2012,11047,Suffolk,Other_race,1159
287,Wyandanch,2011,11265,Suffolk,Other_race,1079
288,Wyandanch,2010,10931,Suffolk,Other_race,1128
289,DeerPark,2017,27653,Suffolk,White,19057
290,DeerPark,2016,27223,Suffolk,White,19537
291,DeerPark,2015,27346,Suffolk,White,19964
292,DeerPark,2014,27290,Suffolk,White,20528
293,DeerPark,2013,27482,Suffolk,White,20127
294,DeerPark,2012,27770,Suffolk,White,21239
295,DeerPark,2011,27492,Suffolk,White,20543
296,DeerPark,2010,28292,Suffolk,White,21595
297,NorthAmityville,2017,19774,Suffolk,White,2756
298,NorthAmityville,2016,20150,Suffolk,White,3272
299,NorthAmityville,2015,19895,Suffolk,White,3810
300,NorthAmityville,2014,19608,Suffolk,White,4223
301,NorthAmityville,2013,19502,Suffolk,White,5233
302,NorthAmityville,2012,18400,Suffolk,White,4785
303,NorthAmityville,2011,18675,Suffolk,White,4473
304,NorthAmityville,2010,17814,Suffolk,White,4492
305,NorthBabylon,2017,19774,Suffolk,White,2756
306,NorthBabylon,2016,20150,Suffolk,White,3272
307,NorthBabylon,2015,19895,Suffolk,White,3810
308,NorthBabylon,2014,19608,Suffolk,White,4223
309,NorthBabylon,2013,19502,Suffolk,White,5233
310,NorthBabylon,2012,18400,Suffolk,White,4785
311,NorthBabylon,2011,18675,Suffolk,White,4473
312,NorthBabylon,2010,17814,Suffolk,White,4492
313,WestBabylon,2017,43168,Suffolk,White,33139
314,WestBabylon,2016,43359,Suffolk,White,33769
315,WestBabylon,2015,42664,Suffolk,White,32840
316,WestBabylon,2014,43725,Suffolk,White,34030
317,WestBabylon,2013,43496,Suffolk,White,33370
318,WestBabylon,2012,44175,Suffolk,White,34307
319,WestBabylon,2011,43754,Suffolk,White,34474
320,WestBabylon,2010,44552,Suffolk,White,35604
321,WheatleyHeights,2017,5038,Suffolk,White,1511
322,WheatleyHeights,2016,5076,Suffolk,White,1357
323,WheatleyHeights,2015,5220,Suffolk,White,1309
324,WheatleyHeights,2014,5211,Suffolk,White,1330
325,WheatleyHeights,2013,5356,Suffolk,White,1298
326,WheatleyHeights,2012,5238,Suffolk,White,1584
327,WheatleyHeights,2011,5523,Suffolk,White,1804
328,WheatleyHeights,2010,6195,Suffolk,White,2117
329,Wyandanch,2017,11315,Suffolk,White,2293
330,Wyandanch,2016,10722,Suffolk,White,2073
331,Wyandanch,2015,11558,Suffolk,White,2154
332,Wyandanch,2014,11187,Suffolk,White,1689
333,Wyandanch,2013,10608,Suffolk,White,1558
334,Wyandanch,2012,11047,Suffolk,White,1981
335,Wyandanch,2011,11265,Suffolk,White,2128
336,Wyandanch,2010,10931,Suffolk,White,1968
